cost_center_id,cost_center_name,branch,hr_region,business_line
CC0001,Corporate Services — Unit 001,Operations,Ontario,Service Delivery
CC0002,Policy & Programs — Unit 002,Corporate Services,Atlantic,Service Delivery
CC0003,Communications — Unit 003,Audit & Evaluation,National Capital Region,Strategy
CC0004,Finance & Administration — Unit 004,Finance & Administration,Ontario,Strategy
CC0005,International Affairs — Unit 005,Digital & Technology,Atlantic,Service Delivery
CC0006,Policy & Programs — Unit 006,Policy & Programs,Pacific,Service Delivery
CC0007,Policy & Programs — Unit 007,Audit & Evaluation,International,Service Delivery
CC0008,Audit & Evaluation — Unit 008,International Affairs,Atlantic,Service Delivery
CC0009,Digital & Technology — Unit 009,Corporate Services,International,Oversight
CC0010,Operations — Unit 010,Legal Services,National Capital Region,Strategy
CC0011,Finance & Administration — Unit 011,Corporate Services,Pacific,Strategy
CC0012,Legal Services — Unit 012,Operations,Prairies,Oversight
CC0013,Audit & Evaluation — Unit 013,Finance & Administration,National Capital Region,Strategy
CC0014,International Affairs — Unit 014,Policy & Programs,Prairies,Oversight
CC0015,Finance & Administration — Unit 015,International Affairs,Pacific,Enabling Services
CC0016,Policy & Programs — Unit 016,Audit & Evaluation,Ontario,Service Delivery
CC0017,International Affairs — Unit 017,Legal Services,National Capital Region,Oversight
CC0018,Finance & Administration — Unit 018,Communications,National Capital Region,Service Delivery
CC0019,Operations — Unit 019,Operations,National Capital Region,Enabling Services
CC0020,Digital & Technology — Unit 020,Communications,National Capital Region,Oversight
CC0021,Corporate Services — Unit 021,Operations,Prairies,Service Delivery
CC0022,Legal Services — Unit 022,Audit & Evaluation,National Capital Region,Enabling Services
CC0023,Finance & Administration — Unit 023,Corporate Services,Quebec,Service Delivery
CC0024,Audit & Evaluation — Unit 024,Policy & Programs,Quebec,Strategy
CC0025,Operations — Unit 025,International Affairs,Atlantic,Oversight
CC0026,Policy & Programs — Unit 026,International Affairs,Pacific,Enabling Services
CC0027,Communications — Unit 027,Digital & Technology,National Capital Region,Oversight
CC0028,Finance & Administration — Unit 028,International Affairs,Quebec,Enabling Services
CC0029,Operations — Unit 029,Communications,International,Service Delivery
CC0030,Digital & Technology — Unit 030,Finance & Administration,International,Service Delivery
CC0031,Finance & Administration — Unit 031,Corporate Services,International,Service Delivery
CC0032,Audit & Evaluation — Unit 032,Policy & Programs,Pacific,Strategy
CC0033,Finance & Administration — Unit 033,Operations,Quebec,Strategy
CC0034,Corporate Services — Unit 034,Finance & Administration,Quebec,Strategy
CC0035,Corporate Services — Unit 035,Operations,National Capital Region,Strategy
CC0036,Communications — Unit 036,Legal Services,Quebec,Oversight
CC0037,International Affairs — Unit 037,Policy & Programs,National Capital Region,Oversight
CC0038,Audit & Evaluation — Unit 038,Audit & Evaluation,Quebec,Strategy
